"HolderAddress","Balance","PendingBalanceUpdate"
"0x23cffa21ccb9f0a3ef8985d616f80ea24fa92639","0.35816128","No"
"0x981517853c0a937f0a5e4a59bead59febf3a3892","1.35","No"
"0x4bdaa8702eb6be489cab461faf200361997fcc0c","5.93145917911518","No"
"0x6ee52e5910d4be2f9e4a5ece947deae3a2271dab","5.5","No"
"0x65bb42e40cc85ab5ed554c697f39046223afbc4e","2.3275223620849E-05","No"
"0xf94651495ee7063c40cb099d28ef8b413b57f626","5.21954821862338","No"
"0xd864472c1bfde50d1e34dcefeb04ef75cdc67227","8","No"
"0x51b59c78648a4990a4fa9734b035af5445f344b5","2.30918091324732","No"
"0x4bdfe881e3db9c92bfd37d1e63941b553aa48b4d","10.259","No"
"0x4e0c08bc0518a579a6debfb9bf245386c49f097d","4.9755","No"
"0xd794fb7b7bd96de6cbec85360754df908d51128d","1.97205745891111","No"
"0xa5af064d8c0c7613fdb4124d8521c07eee5d91ee","2.70606873","No"
"0xcb15b831e4645c540f975e12c9ab452f0a5d1800","2.68","No"
"0x2a97478e016dcf7be8aaf924c764b0c67922f317","2.254612996E-09","No"
"0xe50c226235c9e9658e50106ca988a56833bf1b8a","0.000134821830475048","No"
"0x4998accf2e7ab9427f5958676dd6451179975f3b","3.32014776","No"
"0x108f12c81f4d58269408353213b28ffa7c8c9c87","47.7567070274435","No"
"0x185dd58a46741005100a8352f69ecc17fa77b87a","8.17255380127134","No"
"0x7bbb6403fdc760b0f768df51b675650060fe4db5","8.036","No"
"0x0a0e40c659025ed7f118959ecef776666659f00d","4.012765891E-09","No"
"0xad8ce3463c7e0a7e59c551ee445d707c1432725b","52.28","No"
"0x10b01dedb9e99b281d4f7b507dbc1d98837483d1","9.48771163","No"
"0xed327d0ed6bad543a879c9055786cce0811c2708","2.05390873","No"
"0x08a767e2d2f035fa79339b6a76984745af1ff982","7","No"
"0xcce8d59affdd93be338fc77fa0a298c2cb65da59","0.130886001239958","No"
"0x5a6035bb1fce859ab053f44ddfdea66bb24669c8","9.63102102","No"
"0x88f0bf89b67f7c941a4464f919878ed212536863","0.00220124105546192","No"
"0xa2754747eedf7ab5ba410a301c7f3e418c4af4ba","4.9839","No"
"0x45e7f23a49a680a044d2481bba0273dbb938d461","2","No"
"0xbab08def3ddd8889f14a54481658e64256421d42","9.5809155214216E-05","No"
"0xefac315c6a06de2d59e340e4b17371e9c4e49e56","2.0577","No"
"0x60a3c0c7ea797b22b34e4f6c2e39ded1fc506bce","1.85481633","No"
"0x095892d3912ad02a2e74bd972869afd50b5ea98b","10.8244705741911","No"
"0x975c20d9635fb04dcee4c48db12c245f70505b82","0.38766596080573","No"
"0x00cef0f5243cd493b612f716a862bfba014bf5f3","7.7843","No"
"0xb88dc539da7d74e3789295bd53560f2dacf7bba7","7.96404","No"
"0xedc470111cd1f27369fe80d7fa55ef55c3b7ec32","8.8603983943703E-05","No"
"0x5f4e69074977e42e3811a4031f85a12c553101e0","0.7175599823","No"
"0x7b42bdf37c96d0b1f993706812fa43a5c84b8de9","16.7406","No"
"0xf4c1196b6412c0b29079af7f9d2d44d85d1d6969","0.00334545419676628","No"
"0xc156203442ded638ed56687e77330e512f8a5346","6","No"
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb","24.2150506306199","No"
"0x133457e2e83cd3eddb6d4a1dc45a5bdd2d21a4d2","5","No"
"0x717083565594b88ecf6e064411134c178230426d","5.5018461908251E-05","No"
"0x6c6a427cd43e1747e4adeddc56fbc9c8fa492d1c","1.86994271E-10","No"
"0x41e19a3a488cd49ab109f4644bb6699bbb6f7754","7.7373054198638E-05","No"
"0x1ca23263df21952458fa2d64fc596a37261535e3","2.12867632559746","No"
"0x15151ac99bba4ee669199efbdcd0d3af6d70fcb6","1.39247280905827","No"
"0x5ef619d3f5eae059e5c850d52b52e77fd3682dea","1","No"
"0xc454259daa76b9629ccf1cd59630cfd81a3d35e6","5.933656491E-09","No"
"0x26e289b3570d8fa166fd2d3fe50360639beceae1","0.654975203366067","No"
"0x597bea912e8734e17ddc4f43a489a1472d9459cf","1","No"
"0x17bba251a36b3f508886bd886ce9cc16c2f3ddc2","0.382366581718579","No"
"0x042e93ec447a0a1d16b6fce75e30e01c43af114f","4.06039129","No"
"0xd02178abb4dcce893403fc8990b3cb3a57c124f9","2.7025214864935E-05","No"
"0xfacb9ab64abbd739ba5f067a76186857575831cb","0.00018778117774321","No"
"0x594ba954d7da509ace74ea9e185a7dfe81fa8f2a","8.19906E-13","No"
"0x557cde75c38b2962be3ca94dced614da774c95b0","0.000240103777824999","No"
